음식,칼로리,지방,포화지방,단일불포화지방,다중불포화지방,탄수화물,당류,단백질,식이섬유,콜레스테롤,나트륨,수분
pear nectar,150,0.062,0.032,0.086,0.038,39.4,0.0,0.3,1.5,0.0,0.056,210.0
blackberry juice,95,1.5,0.095,0.1,0.9,19.5,19.3,0.8,0.3,0.0,0.072,227.3
lemon juice,54,0.6,0.06,0.073,0.038,16.6,6.1,0.9,0.7,0.0,0.046,225.2
cranberry grape juice,137,0.2,0.053,0.092,0.08,34.3,0.0,0.5,0.2,0.0,0.079,209.7
citrus fruit juice,114,0.057,0.088,0.048,0.085,28.3,20.2,0.8,0.2,0.0,0.051,217.8
prune juice,182,0.006,0.033,0.082,0.011,44.7,42.1,1.6,2.6,0.0,0.1,208.0
guanabana nectar,148,0.4,0.096,0.1,0.006,37.5,32.8,0.3,0.3,0.0,0.061,212.6
fruit juice,108,0.1,0.059,0.048,0.036,26.3,24.2,0.3,0.2,0.0,0.1,172.7
horchata,15,0.2,0.0,0.0,0.0,3.3,2.6,0.1,0.0,0.0,0.013,24.6
fruit punch,98,0.4,0.048,0.011,0.039,24.4,0.0,0.2,0.0,0.0,0.08,208.6
apricot nectar,139,0.2,0.07,0.085,0.039,35.7,34.2,0.9,1.5,0.0,0.025,210.5
orangensaft ja,86,0.0,0.0,17.8,17.8,1.4,0.024,0.0,0.0,0.0,0.0,0.0
fruchtcocktail granini,102,0.4,0.2,23.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
peach nectar,125,1.3,0.6,0.2,0.5,29.7,27.8,0.5,0.2,0.0,0.077,217.3
orange pineapple juice,15,0.08,0.056,0.026,0.024,3.6,3.1,0.1,0.032,0.0,0.044,25.7
cranberry juice,92,0.3,0.061,0.098,0.1,24.4,24.2,0.8,0.2,0.0,0.093,174.3
white grapefruit juice,96,0.2,0.083,0.091,0.007,22.7,22.5,1.2,0.2,0.0,0.018,222.3
mango nectar,128,0.2,0.04,0.092,0.066,32.9,31.2,0.3,0.8,0.0,0.061,217.4
acerola cherry juice,56,0.7,0.2,0.2,0.2,11.6,10.9,1.0,0.7,0.0,0.082,228.2
apple juice concentrate,350,0.8,0.1,0.053,0.2,86.5,81.9,1.1,0.8,0.0,0.049,120.3
papaya nectar,143,0.4,0.1,0.1,0.07,36.3,34.8,0.4,1.5,0.0,0.082,212.6
apple juice martinellis,122,0.0,0.0,29.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lime juice,61,0.2,0.052,0.087,0.071,20.4,4.1,1.0,1.0,0.0,0.014,219.7
grape juice,152,0.3,0.06,0.03,0.059,37.4,35.9,0.9,0.5,0.0,0.003,213.8
water dannon,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.9
tap water,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,236.8
table water,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,499.5
fruit flavored water,52,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,223.8
water,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,237.0
cola light coca cola,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087,336.5
lemon lime soda,151,0.0,0.0,0.0,0.0,38.4,37.6,0.3,0.0,0.0,0.024,330.2
tonic water,114,0.0,0.0,0.0,0.0,29.6,29.6,0.0,0.0,0.0,0.049,306.1
lemonade low calorie,7,0.0,0.0,0.0,0.0,1.6,0.0,0.092,0.0,0.0,0.013,236.8
ginger ale,68,0.0,0.0,0.0,0.0,17.5,17.4,0.0,0.0,0.0,0.043,182.5
ice tea lemon flavor nestle,88,0.0,0.0,0.0,0.0,22.3,22.3,0.0,0.0,0.0,0.063,223.4
sprite coca cola,80,0.063,0.0,0.0,0.0,20.3,18.0,0.1,0.0,0.0,0.021,179.6
cola coca cola,151,0.0,0.0,0.0,0.0,38.9,38.9,0.0,0.0,0.0,0.045,329.8
cola,74,0.07,0.0,0.0,0.0,19.1,17.9,0.1,0.0,0.0,0.072,180.6
cream soda,252,0.0,0.0,0.0,0.0,65.7,65.7,0.0,0.0,0.0,0.098,428.3
club soda,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,199.8
pink lemonade,86,0.3,0.079,0.03,0.034,21.6,20.6,0.1,0.2,0.0,0.01,177.8
grape soda,160,0.0,0.0,0.0,0.0,41.7,0.0,0.0,0.0,0.0,0.042,330.3
cola without caffeine coca cola,151,0.0,0.0,0.0,0.0,38.9,38.9,0.0,0.0,0.0,0.04,329.8
white lemonade,80,0.003,0.093,0.024,0.076,20.8,20.0,0.1,0.0,0.0,0.02,178.7
chocolate soda,207,0.0,0.0,0.0,0.0,52.6,52.6,0.0,0.0,0.0,0.031,438.9
sweet tea lipton,130,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0
hibiscus tea,74,1.3,0.5,0.2,0.04,14.8,12.0,0.9,0.6,0.0,0.091,179.3
instant lemon tea,2,0.0,0.0,0.0,0.0,0.3,0.047,0.1,0.0,0.0,0.046,199.2
pesca tea santal,116,0.0,28.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
instant lemon tea sweetened,91,0.2,0.018,0.046,0.093,22.3,21.6,0.071,0.3,0.0,0.089,236.2
tea with milk and sugar yorkshire,15,0.5,0.3,0.7,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0
tea blueberry muffin tekanne,4,0.2,0.2,0.6,0.4,0.4,0.007,0.0,0.0,0.0,0.0,0.0
chamomile tea,2,0.0,0.028,0.032,0.073,0.4,0.0,0.0,0.0,0.0,0.003,199.4
black tea,2,0.0,0.072,0.032,0.029,0.7,0.0,0.0,0.0,0.0,0.091,236.3
herb tea,2,0.0,0.014,0.043,0.071,0.4,0.0,0.0,0.0,0.0,0.064,199.4
clam tomato juice,80,0.3,0.0,0.0,0.0,18.2,5.5,1.0,0.7,0.0,0.6,145.1
tomato juice,41,0.7,0.043,0.062,0.043,8.6,6.3,2.1,1.0,0.0,0.063,229.0
vegetable juice,53,0.2,0.071,0.016,0.1,11.1,7.9,1.5,1.9,0.0,0.1,226.3
tomato vegetable juice,53,0.2,0.014,0.014,0.1,11.1,9.2,1.5,1.9,0.0,0.2,226.3
carrot juice,80,0.3,0.055,0.027,0.1,18.6,7.8,1.9,1.6,0.0,0.1,177.7
acorn dried,144,8.9,1.2,5.6,1.7,15.2,0.0,2.3,0.0,0.0,0.0,1.4
fenugreek seeds,36,0.7,0.2,0.0,0.0,6.5,0.0,2.6,2.7,0.0,0.09,1.0
peanut topping mcdonalds,181,15.0,2.4,7.3,4.0,4.6,1.2,7.9,0.0,0.0,0.0,0.2
beechnuts dried,173,15.0,1.7,6.6,6.0,10.1,0.0,1.9,0.0,0.0,0.068,2.0
breadnut tree seeds raw,61,0.3,0.089,0.061,0.1,13.1,0.0,1.7,0.0,0.0,0.084,12.7
cumin seeds,8,0.5,0.096,0.3,0.013,0.9,0.063,0.4,0.2,0.0,0.073,0.2
pili nuts dried,863,95.5,37.4,44.7,9.1,4.8,0.0,13.0,0.0,0.0,0.014,3.3
hazelnuts roasted,194,18.7,1.4,14.0,2.5,5.3,1.5,4.5,2.8,0.0,0.0,0.8
lupins cooked,193,4.8,0.6,2.0,1.2,15.4,0.0,25.8,4.6,0.0,0.4,118.0
hazelnuts blanched,178,17.3,1.3,13.6,1.6,4.8,1.0,3.9,3.1,0.0,0.0,1.6
brazilnuts dried,33,3.3,0.8,1.2,1.0,0.6,0.1,0.7,0.4,0.0,0.073,0.2
sunflower seeds dry roasted,47,4.0,0.4,0.8,2.6,1.9,0.2,1.5,0.9,0.0,0.067,0.076
ginkgo nuts canned,172,2.5,0.5,0.9,0.9,34.3,0.0,3.5,14.4,0.0,0.5,113.1
peanuts cooked,572,39.6,5.5,19.7,12.5,38.3,4.4,24.3,15.8,0.0,1.4,75.2
pumpkin squash seeds dried,721,63.3,11.2,21.0,27.1,13.8,1.8,39.0,7.7,0.0,0.013,6.7
cashew nuts raw,156,12.4,2.2,6.7,2.2,8.5,1.7,5.2,0.9,0.0,0.02,1.5
sunflower seeds dried,269,23.7,2.0,8.5,10.6,9.2,1.2,9.6,4.0,0.0,0.014,2.2
lotus seeds dried,106,0.6,0.1,0.1,0.4,20.6,0.0,4.9,0.0,0.0,0.024,4.5
butternuts dried,734,68.4,1.6,12.5,51.3,14.5,0.0,29.9,5.6,0.0,0.062,4.0
sesame seeds dried,52,4.5,0.6,1.7,2.0,2.1,0.031,1.6,1.1,0.0,0.049,0.4
breadfruit seeds,57,1.7,0.5,0.2,0.9,8.8,0.0,2.2,1.6,0.0,0.04,16.9
pinyon pine nuts dried,1,0.073,0.022,0.044,0.074,0.01,0.0,0.083,0.005,0.0,0.07,0.045
pine nuts dried,909,92.3,6.6,25.3,46.0,17.7,4.8,18.5,5.0,0.0,0.086,3.1
flaxseeds,55,4.3,0.4,0.8,3.0,3.0,0.2,1.9,2.8,0.0,0.035,0.7
safflower seed kernels dried,146,10.9,1.0,1.4,8.0,9.7,0.0,4.6,0.0,0.0,0.042,1.6
pistachio nuts raw,691,55.8,6.8,29.3,16.9,33.8,9.4,24.9,12.7,0.0,0.037,4.8
peanuts raw,828,71.9,10.0,35.7,22.7,23.5,5.8,37.7,12.4,0.0,0.038,9.5
poppy seeds,46,3.7,0.4,0.5,2.5,2.5,0.3,1.6,1.7,0.0,0.079,0.5
valencia peanuts raw,832,69.5,10.7,31.3,24.1,30.5,0.0,36.6,12.7,0.0,0.094,6.2
spanish peanuts,832,72.4,11.2,32.6,25.1,23.1,0.0,38.2,13.9,0.0,0.036,9.3
dill seeds,20,1.0,0.018,0.6,0.041,3.6,0.0,1.1,1.4,0.0,0.037,0.5
caraway seeds,22,1.0,0.03,0.5,0.2,3.3,0.038,1.3,2.5,0.0,0.014,0.7
acorn raw,110,6.8,0.9,4.3,1.3,11.5,0.0,1.7,0.0,0.0,0.0,7.9
almonds roasted,182,16.6,1.3,10.4,4.1,5.3,1.4,6.4,3.2,0.0,0.029,0.8
lotus seeds raw,25,0.1,0.097,0.011,0.002,4.9,0.0,1.2,0.0,0.0,0.02,21.8
chestnuts cooked,37,0.4,0.016,0.1,0.2,7.9,0.0,0.6,0.0,0.0,0.046,19.3
alfalfa seeds,1,0.075,0.029,0.067,0.057,0.002,0.058,0.1,0.015,0.0,0.048,2.8
virginia peanuts roasted,173,14.6,1.9,7.6,4.4,6.0,0.0,7.8,2.7,0.0,0.018,0.7
hazelnuts raw,471,45.6,3.3,34.2,5.9,12.5,3.3,11.2,7.3,0.0,0.0,4.0
anise seeds,7,0.3,0.06,0.2,0.066,1.1,0.0,0.4,0.3,0.0,0.1,0.2
macadamia nuts roasted,215,22.8,3.6,17.8,0.4,4.0,1.2,2.3,2.4,0.0,0.064,0.5
studentenfutter alnatura,139,7.8,0.9,4.8,2.0,13.2,11.7,3.1,0.031,1.7,0.0,0.0
pumpkin squash seeds roasted,46,3.9,0.7,1.3,1.6,1.2,0.1,2.4,0.5,0.0,0.045,0.2
water chestnut raw,120,0.1,0.039,0.055,0.089,29.7,6.0,1.7,3.7,0.0,0.097,91.1
chestnuts roasted,37,0.3,0.009,0.1,0.1,7.9,1.6,0.5,0.8,0.0,0.043,6.1
ginkgo nuts raw,52,0.5,0.029,0.2,0.2,10.6,0.0,1.2,0.0,0.0,0.067,15.6
almonds raw,9,0.7,0.04,0.5,0.2,0.3,0.026,0.3,0.2,0.0,0.043,0.026
peanuts roasted,180,15.8,2.6,7.8,4.6,4.6,1.3,8.4,2.8,0.0,0.069,0.4
sunflower seeds toasted,829,76.1,8.0,14.5,50.3,27.6,0.0,23.1,15.4,0.0,0.8,1.3
sisymbrium seeds,235,3.4,0.7,1.1,1.5,43.1,0.0,9.0,0.0,0.0,0.047,4.5
breadnut tree seeds dried,587,2.7,0.7,0.3,1.4,127.0,0.0,13.8,23.8,0.0,0.091,10.4
pecans raw,753,78.4,6.7,44.5,23.6,15.1,4.3,10.0,10.5,0.0,0.0,3.8
chia seeds dried,138,8.7,0.9,0.7,6.7,11.9,0.0,4.7,9.7,0.0,0.047,1.6
japanese chestnuts roasted,57,0.2,0.08,0.1,0.094,12.8,0.0,0.8,0.0,0.0,0.079,14.1
sesame seeds toasted,45,3.8,0.5,1.5,1.7,2.1,0.0,1.4,1.1,0.0,0.07,0.3
cashew nuts roasted,174,14.3,2.5,7.8,2.6,9.0,1.5,5.1,1.0,0.0,0.091,0.7
lupins raw,668,17.5,2.1,7.1,4.4,72.7,0.0,65.1,34.0,0.0,0.009,18.8
mustard seeds ground,10,0.7,0.012,0.5,0.2,0.6,0.1,0.5,0.2,0.0,0.017,0.1
mixed nuts roasted,178,15.4,2.0,9.4,3.2,7.6,1.4,5.2,2.7,0.0,0.1,0.5
salat mix alestro,61,5.2,0.9,0.1,0.3,2.4,0.0,0.0,0.0,0.0,0.0,0.0
chestnuts raw,309,3.3,0.6,1.1,1.3,66.0,0.0,3.5,11.7,0.0,0.02,70.5
pistachio nuts roasted,172,13.7,1.7,7.4,4.0,8.5,2.3,6.3,3.1,0.0,0.008,0.6
walnut,33,3.3,0.3,0.4,2.4,0.7,0.1,0.8,0.3,0.0,0.041,0.2
celery seeds,25,1.6,0.1,1.0,0.2,2.7,0.078,1.2,0.8,0.0,0.068,0.4
hickorynuts dried,788,77.2,8.4,39.1,26.3,21.9,0.0,15.3,7.7,0.0,0.053,3.2
spanish peanuts roasted,851,72.1,11.1,32.4,25.0,25.7,0.0,41.2,13.1,0.0,0.6,2.6
woca seeds dried,102,0.3,0.025,0.044,0.059,22.6,0.1,2.2,5.4,0.0,0.048,2.6
pecans roasted,215,22.6,2.2,12.3,7.1,3.9,1.2,2.8,2.9,0.0,0.062,0.3
fennel seeds,7,0.3,0.008,0.2,0.065,1.0,0.0,0.3,0.8,0.0,0.097,0.2
chinese chestnuts roasted,68,0.3,0.027,0.2,0.073,14.8,0.0,1.3,0.0,0.0,0.052,11.4
watermelon seed kernels dried,602,51.2,10.6,8.0,30.3,16.5,0.0,30.6,0.0,0.0,0.1,5.5
macadamia nuts raw,38,4.0,0.6,3.1,0.059,0.7,0.2,0.4,0.5,0.0,0.011,0.011
pectin,163,0.2,0.052,0.093,0.076,45.2,0.0,0.2,4.3,0.0,0.1,4.4
black walnut dried,31,3.0,0.2,0.8,1.8,0.5,0.018,1.2,0.3,0.0,0.028,0.2
water chestnut canned,70,0.015,0.05,0.068,0.053,17.2,3.4,1.2,3.5,0.0,0.011,121.0
ginkgo nuts dried,98,0.6,0.1,0.2,0.2,20.5,0.0,2.9,0.0,0.0,0.045,3.5
virginia peanuts raw,822,71.2,9.3,36.9,21.5,24.1,5.8,36.8,12.4,0.0,0.008,10.1
valencia peanuts roasted,177,15.4,2.4,6.9,5.3,4.9,0.0,8.1,2.7,0.0,0.004,0.6
nesfit diet cereal nestle,75,0.0,14.5,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corn grits cooked,182,1.2,0.2,0.2,0.4,37.9,0.3,4.4,2.1,0.0,0.6,213.1
amaranth flakes,134,2.7,0.5,0.8,1.0,27.0,0.2,5.9,3.6,0.0,0.067,1.1
granola,293,14.6,2.4,6.6,4.7,32.3,11.9,8.2,5.3,0.0,0.01,3.5
muesli with fruit nuts,231,3.4,0.5,1.2,1.4,45.7,14.2,4.3,5.8,0.0,0.1,5.1
muesli master crumble,124,2.4,1.0,19.8,8.5,4.5,0.042,2.4,0.0,0.0,0.0,0.0
bran flakes,131,0.8,0.2,0.1,0.5,32.2,7.4,4.0,7.3,0.0,0.2,1.4
nut cereal,245,5.9,1.0,3.9,0.5,46.2,17.2,4.0,3.6,0.0,0.3,2.6
corn flakes,108,0.3,0.098,0.071,0.018,24.6,2.2,1.7,0.8,0.0,0.2,0.9
corn grits dry,36,0.2,0.022,0.018,0.032,7.7,0.008,0.7,0.4,0.0,0.054,1.1
